EcoTypeID,VegID,HerbSpecFrac
3865,GFHerb,1
3866,GFHerb,1
3867,GFHerb,1
3868,GFHerb,1
3869,GFHerb,1
3870,GFHerb,1
3871,GFHerb,1
3872,GFHerb,1
3873,GFHerb,1
3874,GFHerb,1
3875,GFHerb,1
3876,GFHerb,1
3877,GFHerb,1
3878,GFHerb,1
3879,GFHerb,1
3880,GFHerb,1
3881,GFHerb,1
3882,GFHerb,1
3883,GFHerb,1
3884,GFHerb,1
3885,GFHerb,1
3886,GFHerb,1
3887,GFHerb,1
3900,GFHerb,1
3901,GFHerb,1
3902,GFHerb,1
3903,GFHerb,1
3904,GFHerb,1
3905,GFHerb,1
3906,GFHerb,1
3907,GFHerb,1
3908,GFHerb,1
3909,GFHerb,1
3910,GFHerb,1
3911,GFHerb,1
3912,GFHerb,1
3913,GFHerb,1
3914,GFHerb,1
3915,GFHerb,1
3916,GFHerb,1
3917,GFHerb,1
3918,GFHerb,1
3919,GFHerb,1
3920,GFHerb,1
3921,GFHerb,1
3922,GFHerb,1
3923,GFHerb,1
3924,GFHerb,1
3925,GFHerb,1
3926,GFHerb,1
3927,GFHerb,1
3928,GFHerb,1
3929,GFHerb,1
3930,GFHerb,1
3931,GFHerb,1
3932,GFHerb,1
3933,GFHerb,1
3934,GFHerb,1
3935,GFHerb,1
3936,GFHerb,1
3937,GFHerb,1
3938,GFHerb,1
3939,GFHerb,1
3940,GFHerb,1
3941,GFHerb,1
3942,GFHerb,1
3943,GFHerb,1
3944,GFHerb,1
3945,GFHerb,1
3946,GFHerb,1
3947,GFHerb,1
3948,GFHerb,1
3949,GFHerb,1
3950,GFHerb,1
3951,GFHerb,1
3952,GFHerb,1
3953,GFHerb,1
3954,GFHerb,1
3955,GFHerb,1
3956,GFHerb,1
3957,GFHerb,1
3958,GFHerb,1
3959,GFHerb,1
3960,GFHerb,1
3961,GFHerb,1
3962,GFHerb,1
3963,GFHerb,1
3964,GFHerb,1
3965,GFHerb,1
3966,GFHerb,1
3967,GFHerb,1
3968,GFHerb,1
3969,GFHerb,1
3970,GFHerb,1
3971,GFHerb,1
3972,GFHerb,1
3973,GFHerb,1
3974,GFHerb,1
3975,GFHerb,1
3976,GFHerb,1
3977,GFHerb,1
3978,GFHerb,1
3979,GFHerb,1
3980,GFHerb,1
3981,GFHerb,1
3982,GFHerb,1
3983,GFHerb,1
3984,GFHerb,1
3985,GFHerb,1
3986,GFHerb,1
3987,GFHerb,1
3988,GFHerb,1
3989,GFHerb,1
3990,GFHerb,1
3991,GFHerb,1
3992,GFHerb,1
3993,GFHerb,1
3994,GFHerb,1
3995,GFHerb,1
3996,GFHerb,1
3997,GFHerb,1
3998,GFHerb,1
3999,GFHerb,1
5001,GFHerb,1
5002,GFHerb,1
5003,GFHerb,1
5004,GFHerb,1
5005,GFHerb,1
5006,GFHerb,1
5007,GFHerb,1
5008,GFHerb,1
5009,GFHerb,1
5010,GFHerb,1
5011,GFHerb,1
5012,GFHerb,1
5013,GFHerb,1
5014,GFHerb,1
5015,GFHerb,1
5016,GFHerb,1
5017,GFHerb,1
5018,GFHerb,1
5019,GFHerb,1
5020,GFHerb,1
5021,GFHerb,1
5022,GFHerb,1
5023,GFHerb,1
5024,GFHerb,1
5025,GFHerb,1
5026,GFHerb,1
5027,GFHerb,1
5028,GFHerb,1
5029,GFHerb,1
5030,GFHerb,1
5031,GFHerb,1
5032,GFHerb,1
5033,GFHerb,1
5034,GFHerb,1
5035,GFHerb,1
5036,GFHerb,1
5037,GFHerb,1
5038,GFHerb,1
5039,GFHerb,1
5040,GFHerb,1
5041,GFHerb,1
5042,GFHerb,1
5043,GFHerb,1
5044,GFHerb,1
5045,GFHerb,1
5046,GFHerb,1
5047,GFHerb,1
5048,GFHerb,1
5049,GFHerb,1
5050,GFHerb,1
5051,GFHerb,1
5052,GFHerb,1
5053,GFHerb,1
5054,GFHerb,1
5055,GFHerb,1
5056,GFHerb,1
5057,GFHerb,1
5058,GFHerb,1
5059,GFHerb,1
5060,GFHerb,1
5061,GFHerb,1
5062,GFHerb,1
5063,GFHerb,1
5064,GFHerb,1
5065,GFHerb,1
5066,GFHerb,1
5067,GFHerb,1
5068,GFHerb,1
5069,GFHerb,1
5070,GFHerb,1
5071,GFHerb,1
5072,GFHerb,1
5073,GFHerb,1
5074,GFHerb,1
5075,GFHerb,1
5076,GFHerb,1
5077,GFHerb,1
5078,GFHerb,1
5079,GFHerb,1
5080,GFHerb,1
5081,GFHerb,1
5082,GFHerb,1
5083,GFHerb,1
5084,GFHerb,1
5085,GFHerb,1
5086,GFHerb,1
5087,GFHerb,1
5088,GFHerb,1
5089,GFHerb,1
5090,GFHerb,1
5091,GFHerb,1
5092,GFHerb,1
5093,GFHerb,1
5094,GFHerb,1
5095,GFHerb,1
5096,GFHerb,1
5097,GFHerb,1
5098,GFHerb,1
5099,GFHerb,1
5100,GFHerb,1
5101,GFHerb,1
5102,GFHerb,1
5103,GFHerb,1
5104,GFHerb,1
5105,GFHerb,1
5106,GFHerb,1
5107,GFHerb,1
5108,GFHerb,1
5109,GFHerb,1
5110,GFHerb,1
5111,GFHerb,1
5112,GFHerb,1
5113,GFHerb,1
5114,GFHerb,1
5115,GFHerb,1
5116,GFHerb,1
5117,GFHerb,1
5118,GFHerb,1
5119,GFHerb,1
5120,GFHerb,1
5121,GFHerb,1
5122,GFHerb,1
5123,GFHerb,1
5124,GFHerb,1
5125,GFHerb,1
5126,GFHerb,1
5127,GFHerb,1
5128,GFHerb,1
5129,GFHerb,1
5130,GFHerb,1
5131,GFHerb,1
5132,GFHerb,1
5133,GFHerb,1
5134,GFHerb,1
5135,GFHerb,1
5136,GFHerb,1
5137,GFHerb,1
5138,GFHerb,1
5139,GFHerb,1
5140,GFHerb,1
5141,GFHerb,1
5142,GFHerb,1
5143,GFHerb,1
5144,GFHerb,1
5145,GFHerb,1
5146,GFHerb,1
5147,GFHerb,1
5148,GFHerb,1
5149,GFHerb,1
5150,GFHerb,1
5151,GFHerb,1
5152,GFHerb,1
5153,GFHerb,1
5154,GFHerb,1
5155,GFHerb,1
5156,GFHerb,1
5157,GFHerb,1
5158,GFHerb,1
5159,GFHerb,1
5160,GFHerb,1
5161,GFHerb,1
5162,GFHerb,1
5163,GFHerb,1
5164,GFHerb,1
5165,GFHerb,1
5166,GFHerb,1
5167,GFHerb,1
5168,GFHerb,1
5169,GFHerb,1
5170,GFHerb,1
5171,GFHerb,1
5172,GFHerb,1
5173,GFHerb,1
5174,GFHerb,1
5175,GFHerb,1
5176,GFHerb,1
5177,GFHerb,1
5178,GFHerb,1
5179,GFHerb,1
5180,GFHerb,1
5181,GFHerb,1
5182,GFHerb,1
5183,GFHerb,1
5184,GFHerb,1
5185,GFHerb,1
5186,GFHerb,1
5187,GFHerb,1
5188,GFHerb,1
5189,GFHerb,1
5190,GFHerb,1
5191,GFHerb,1
5192,GFHerb,1
5193,GFHerb,1
5194,GFHerb,1
5195,GFHerb,1
5196,GFHerb,1
5197,GFHerb,1
5198,GFHerb,1
5199,GFHerb,1
5200,GFHerb,1
5201,GFHerb,1
5202,GFHerb,1
5203,GFHerb,1
5204,GFHerb,1
5205,GFHerb,1
5206,GFHerb,1
5207,GFHerb,1
5208,GFHerb,1
5209,GFHerb,1
5210,GFHerb,1
5211,GFHerb,1
5212,GFHerb,1
5213,GFHerb,1
5214,GFHerb,1
5215,GFHerb,1
5216,GFHerb,1
5217,GFHerb,1
5218,GFHerb,1
5219,GFHerb,1
5220,GFHerb,1
5221,GFHerb,1
5222,GFHerb,1
5223,GFHerb,1
5224,GFHerb,1
5225,GFHerb,1
5226,GFHerb,1
5227,GFHerb,1
5228,GFHerb,1
5229,GFHerb,1
5230,GFHerb,1
5231,GFHerb,1
5232,GFHerb,1
5233,GFHerb,1
5234,GFHerb,1
5235,GFHerb,1
5236,GFHerb,1
5237,GFHerb,1
5238,GFHerb,1
5239,GFHerb,1
5240,GFHerb,1
5241,GFHerb,1
5242,GFHerb,1
5243,GFHerb,1
5244,GFHerb,1
5245,GFHerb,1
5246,GFHerb,1
5247,GFHerb,1
5248,GFHerb,1
5249,GFHerb,1
5250,GFHerb,1
5251,GFHerb,1
5252,GFHerb,1
5253,GFHerb,1
5254,GFHerb,1
5255,GFHerb,1
5256,GFHerb,1
5257,GFHerb,1
5258,GFHerb,1
5259,GFHerb,1
5260,GFHerb,1
5261,GFHerb,1
5262,GFHerb,1
5263,GFHerb,1
5264,GFHerb,1
5265,GFHerb,1
5266,GFHerb,1
5267,GFHerb,1
5268,GFHerb,1
5269,GFHerb,1
5270,GFHerb,1
5271,GFHerb,1
5272,GFHerb,1
5273,GFHerb,1
5274,GFHerb,1
5275,GFHerb,1
5276,GFHerb,1
5277,GFHerb,1
5278,GFHerb,1
5279,GFHerb,1
5280,GFHerb,1
5281,GFHerb,1
5282,GFHerb,1
5283,GFHerb,1
5284,GFHerb,1
5285,GFHerb,1
5286,GFHerb,1
5287,GFHerb,1
5288,GFHerb,1
5289,GFHerb,1
5290,GFHerb,1
5291,GFHerb,1
5292,GFHerb,1
5293,GFHerb,1
5294,GFHerb,1
5295,GFHerb,1
5296,GFHerb,1
5297,GFHerb,1
5298,GFHerb,1
5299,GFHerb,1
5300,GFHerb,1
5301,GFHerb,1
5302,GFHerb,1
5303,GFHerb,1
5304,GFHerb,1
5305,GFHerb,1
5306,GFHerb,1
5307,GFHerb,1
5308,GFHerb,1
5309,GFHerb,1
5310,GFHerb,1
5311,GFHerb,1
5312,GFHerb,1
5313,GFHerb,1
5314,GFHerb,1
5315,GFHerb,1
5316,GFHerb,1
5317,GFHerb,1
5318,GFHerb,1
5319,GFHerb,1
5320,GFHerb,1
5321,GFHerb,1
5322,GFHerb,1
5323,GFHerb,1
5324,GFHerb,1
5325,GFHerb,1
5326,GFHerb,1
5327,GFHerb,1
5328,GFHerb,1
5329,GFHerb,1
5330,GFHerb,1
5331,GFHerb,1
5332,GFHerb,1
5333,GFHerb,1
5334,GFHerb,1
5335,GFHerb,1
5336,GFHerb,1
5337,GFHerb,1
5338,GFHerb,1
5339,GFHerb,1
5340,GFHerb,1
5341,GFHerb,1
5342,GFHerb,1
5343,GFHerb,1
5344,GFHerb,1
5345,GFHerb,1
5346,GFHerb,1
5347,GFHerb,1
5348,GFHerb,1
5349,GFHerb,1
5350,GFHerb,1
5351,GFHerb,1
5352,GFHerb,1
5353,GFHerb,1
5354,GFHerb,1
5355,GFHerb,1
5356,GFHerb,1
5357,GFHerb,1
5358,GFHerb,1
5359,GFHerb,1
5360,GFHerb,1
5361,GFHerb,1
5362,GFHerb,1
5363,GFHerb,1
5364,GFHerb,1
5365,GFHerb,1
5366,GFHerb,1
5367,GFHerb,1
5368,GFHerb,1
5369,GFHerb,1
5370,GFHerb,1
5371,GFHerb,1
5372,GFHerb,1
5373,GFHerb,1
5374,GFHerb,1
5375,GFHerb,1
5376,GFHerb,1
5377,GFHerb,1
5378,GFHerb,1
5379,GFHerb,1
5380,GFHerb,1
5381,GFHerb,1
5382,GFHerb,1
5383,GFHerb,1
5384,GFHerb,1
5385,GFHerb,1
5386,GFHerb,1
5387,GFHerb,1
5388,GFHerb,1
5389,GFHerb,1
5390,GFHerb,1
5391,GFHerb,1
5392,GFHerb,1
5393,GFHerb,1
5394,GFHerb,1
5395,GFHerb,1
5396,GFHerb,1
5397,GFHerb,1
5398,GFHerb,1
5399,GFHerb,1
5400,GFHerb,1
5401,GFHerb,1
5402,GFHerb,1
5403,GFHerb,1
5404,GFHerb,1
5405,GFHerb,1
5406,GFHerb,1
5407,GFHerb,1
5408,GFHerb,1
5409,GFHerb,1
5410,GFHerb,1
5411,GFHerb,1
5412,GFHerb,1
